"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
1,0,0,0,0,0,0,0,0,0,0,0,0,0.52576,4.1026e-15,0,0.52576,0,0,0,45,0,0,0,0,0,0
0.98948,0,0,0,0,0,0,0,0,0,0,0,0,0.52575,1.0753e-05,0,0.52575,0,0,0,45,0,0,0,0.01,0,0
0.97897,0,0,0,0,0,0,0,0,0,0,0,0,0.52571,2.1524e-05,0,0.52571,0,0,0,45,0,0,0,0.02,0,0
0.96846,0,0,0,0,0,0,0,0,0,0,0,0,0.52566,3.2334e-05,0,0.52566,0,0,0,45,0,0,0,0.03,0,0
0.95794,0,0,0,0,0,0,0,0,0,0,0,0,0.52558,4.3202e-05,0,0.52558,0,0,0,45,0,0,0,0.04,0,0
0.94743,0,0,0,0,0,0,0,0,0,0,0,0,0.52549,5.4145e-05,0,0.52549,0,0,0,45,0,0,0,0.05,0,0
0.93692,0,0,0,0,0,0,0,0,0,0,0,0,0.52537,6.5183e-05,0,0.52537,0,0,0,45,0,0,0,0.06,0,0
0.92642,0,0,0,0,0,0,0,0,0,0,0,0,0.52523,7.6333e-05,0,0.52523,0,0,0,45,0,0,0,0.07,0,0
0.91592,0,0,0,0,0,0,0,0,0,0,0,0,0.52506,8.7612e-05,0,0.52506,0,0,0,45,0,0,0,0.08,0,0
0.90542,0,0,0,0,0,0,0,0,0,0,0,0,0.52488,9.9037e-05,0,0.52488,0,0,0,45,0,0,0,0.09,0,0
0.89492,0,0,0,0,0,0,0,0,0,0,0,0,0.52467,0.00011062,0,0.52467,0,0,0,45,0,0,0,0.1,0,0
0.88443,0,0,0,0,0,0,0,0,0,0,0,0,0.52443,0.00012239,0,0.52443,0,0,0,45,0,0,0,0.11,0,0
0.87394,0,0,0,0,0,0,0,0,0,0,0,0,0.52418,0.00013433,0,0.52418,0,0,0,45,0,0,0,0.12,0,0
0.86346,0,0,0,0,0,0,0,0,0,0,0,0,0.52389,0.00014649,0,0.52389,0,0,0,45,0,0,0,0.13,0,0
0.85299,0,0,0,0,0,0,0,0,0,0,0,0,0.52359,0.00015885,0,0.52359,0,0,0,45,0,0,0,0.14,0,0
0.84252,0,0,0,0,0,0,0,0,0,0,0,0,0.52326,0.00017143,0,0.52326,0,0,0,45,0,0,0,0.15,0,0
